iter	Passed	Remaining
849	6608	1166
850	6615	1158
851	6623	1150
852	6630	1142
853	6639	1135
854	6646	1127
855	6656	1119
856	6663	1111
857	6672	1104
858	6679	1096
859	6687	1088
860	6694	1080
861	6703	1073
862	6711	1065
863	6720	1057
864	6727	1050
865	6735	1042
866	6743	1034
867	6750	1026
868	6758	1018
869	6766	1011
870	6774	1003
871	6781	995
872	6789	987
873	6797	979
874	6805	972
875	6812	964
876	6820	956
877	6827	948
878	6836	941
879	6844	933
880	6854	925
881	6861	918
882	6870	910
883	6877	902
884	6886	894
885	6893	886
886	6901	879
887	6908	871
888	6915	863
889	6922	855
890	6929	847
891	6936	839
892	6943	831
893	6950	824
894	6956	816
895	6962	808
896	6970	800
897	6976	792
898	6984	784
899	6990	776
900	6997	768
901	7004	761
902	7010	753
903	7017	745
904	7024	737
905	7031	729
906	7039	721
907	7048	714
908	7056	706
909	7066	698
910	7074	691
911	7085	683
912	7093	675
913	7103	668
914	7113	660
915	7121	653
916	7132	645
917	7140	637
918	7150	630
919	7158	622
920	7168	614
921	7176	607
922	7186	599
923	7194	591
924	7202	583
925	7209	576
926	7216	568
927	7222	560
928	7230	552
929	7237	544
930	7245	536
931	7251	529
932	7258	521
933	7266	513
934	7272	505
935	7280	497
936	7287	490
937	7296	482
938	7303	474
939	7310	466
940	7317	458
941	7325	451
942	7331	443
943	7337	435
944	7344	427
945	7351	419
946	7357	411
947	7364	403
948	7370	396
949	7378	388
950	7384	380
951	7391	372
952	7397	364
953	7403	356
954	7411	349
955	7418	341
956	7425	333
957	7431	325
958	7437	317
959	7444	310
960	7450	302
961	7457	294
962	7463	286
963	7469	278
964	7477	271
965	7483	263
966	7492	255
967	7500	247
968	7507	240
969	7513	232
970	7520	224
971	7527	216
972	7533	209
973	7540	201
974	7546	193
975	7553	185
976	7559	177
977	7565	170
978	7573	162
979	7578	154
980	7585	146
981	7592	139
982	7598	131
983	7606	123
984	7613	115
985	7620	108
986	7627	100
987	7633	92
988	7640	84
989	7646	77
990	7653	69
991	7659	61
992	7666	54
993	7673	46
994	7679	38
995	7687	30
996	7693	23
997	7701	15
998	7708	7
999	7717	0
